clade_name	N_B9	N_B8	N_B6	N_B5	N_B4	N_B2	N_B21	N_B1	N_B14	N_B13	N_B12	N_B11	N_B10	IN_B7	IN_B29	IN_B28	IN_B27	IN_B25	IN_B24	IN_B23	IN_B22	IN_B19	IN_B18	IN_B17	IN_B16	IN_B15
Bifidobacterium_pseudolongum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50524	0	0	0	0	0	0	0	0	0
Corynebacterium_lowii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00478	0	0
Enterorhabdus_caecimuris	0.20436	0.17082	0.13727	0.41656	0.06533	0.15025	0	0.04481	0.09183	0.15386	0.05429	0.30477	0.10618	0.02289	0.03514	0.47577	0.18501	0.34395	0.04864	0.13684	0.10313	0.1496	0.226	0.09033	0.04501	0.00441
Bacteroides_caecimuris	5.297	5.14582	2.83445	1.09447	1.2376	3.56054	0.38965	2.08959	0.86729	6.97607	1.25028	2.30229	0.81395	4.75738	1.18258	7.28144	1.73228	9.36149	1.45894	1.32968	1.62877	5.63983	0.06878	4.51803	2.154	1.29312
Bacteroides_faecichinchillae	0.08521	0	0.91473	1.03875	0.47974	1.64789	2.63872	0.99434	0	0	0.06977	0	0	0.47178	0.0588	0.07737	0.2379	0.49771	0.40078	0.51991	0.16357	0.28268	0.15266	0	0.37823	0.18079
Bacteroides_intestinalis	0	0	0.16141	0.27766	0	0.06099	0.10431	0	0.01646	0.04272	0	0	0	0.45453	0.126	0.51891	0.12945	0.13022	0	0.13018	0.06944	0.69838	0.90812	0.48529	0.03694	0.13392
Bacteroides_thetaiotaomicron	0	0	1.04644	1.8613	0.20778	0.64144	0.33349	0.11988	0	0	0	0	0	0	0.16707	0.1767	0.09247	0	0	0.27671	0.31813	0.05804	2.30686	0	0	0
Bacteroides_uniformis	3.84808	15.42647	10.29175	5.80026	2.09897	2.81084	5.33163	0.94894	1.70673	8.2698	0.88698	7.96255	4.11968	2.28161	4.91002	8.70844	0.46691	2.22264	4.65948	1.55716	6.59964	3.6135	0.24399	2.63915	1.73989	12.16748
Bacteroides_vulgatus	6.31591	6.97498	2.34727	0.26067	2.62592	14.17531	11.29516	5.33155	5.19148	0.62916	2.07866	0.03994	1.62103	4.75414	0	5.43915	0.12938	1.01962	21.20731	0.12786	0.81735	2.96641	0.24116	5.45433	26.25932	43.66785
Bacteroides_xylanisolvens	0	0	0.06313	0.09914	0.20823	0.12953	0.31041	0	0	0	0	0	0	0.02194	0.12985	0.04157	0.05292	0.17347	0	0.20111	0.03519	0.22357	0.12427	0.07579	0.3375	0.14872
Muribaculaceae_bacterium_DSM_103720	2.16396	29.90668	4.10618	3.29019	0.04934	30.94867	41.44664	29.18485	18.30461	39.09505	59.94349	66.63066	11.51698	22.55364	41.07768	45.4638	47.62837	55.82542	28.76114	46.62328	24.78427	50.8859	0	34.0922	30.4063	1.8216
Muribaculum_intestinale	54.4643	11.25179	11.08298	13.51285	12.06594	11.94102	17.48379	8.33028	4.78521	13.40683	18.73363	12.04546	13.37785	1.85902	3.28823	4.15289	6.11348	1.15264	2.966	4.0413	1.13399	2.18976	0	3.00258	9.05535	1.63166
Butyricimonas_virosa	0	0	0.28437	0.25972	0.80484	0.47634	2.45459	0.49399	0.0015	0	0.03977	0.06689	0	0.10511	0.11788	0	0	0.12346	0	0.07615	0	0.6395	0	0.23096	0.03715	0
Porphyromonas_sp_31_2	0.64025	0.37655	0.59102	0.18445	2.31615	1.21402	3.61301	2.18005	0.31779	0.22523	0.82018	0.0718	0.31438	0.29348	0	0.34289	0.04911	0.33361	0.87249	0.05897	0.15459	0.62193	0	0.54584	1.76911	0.61954
Prevotella_sp_MGM1	0	0	31.4345	49.18572	0	0	0	0	0	0	0	0	0	8.5113	0	0	0	0	0	0	46.54135	0	0	30.0956	0	5.96854
Alistipes_timonensis	0	0	0.65898	0.70511	1.27993	0.63101	0.40468	0.41841	0	0	0	0	0	0.00142	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides_distasonis	0.36069	0.40735	0.36915	0.11615	1.10202	0.90291	3.09472	2.42426	0.18378	0.07881	0.51476	0.04451	0.15196	0.23611	0.00775	0.23031	0.02391	0.16674	0.65903	0.05746	0.09279	0.35113	0	0.32874	1.13304	0.29936
Parabacteroides_goldsteinii	0.20087	0	0.29381	0.81389	0.31619	0.26258	0.76095	0.76943	0.0562	0	0.16481	0	0	0.09955	0.01036	0.32244	0	0.11327	0.20607	0.21092	0	0.20357	0.01306	0.05666	0.18133	0.05923
