clade_name	N_B9	N_B8	N_B6	N_B5	N_B4	N_B2	N_B21	N_B1	N_B14	N_B13	N_B12	N_B11	N_B10	IN_B7	IN_B29	IN_B28	IN_B27	IN_B25	IN_B24	IN_B23	IN_B22	IN_B19	IN_B18	IN_B17	IN_B16	IN_B15
Bifidobacterium_pseudolongum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8187.0	0	0	0	0	0	0	0	0	0
Corynebacterium_lowii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.0	0	0
Enterorhabdus_caecimuris	3041.0	2736.0	2380.0	6555.0	774.0	2601.0	0	583.0	2473.0	4668.0	2684.0	12401.0	3267.0	734.0	717.0	7616.0	4359.0	8266.0	1229.0	3944.0	5236.0	6060.0	6913.0	3484.0	1139.0	97.0
Bacteroides_caecimuris	128578.0	134450.0	80169.0	28089.0	23926.0	100555.0	3615.0	44368.0	38092.0	345192.0	100813.0	152779.0	40846.0	249060.0	39386.0	190093.0	66567.0	366940.0	60138.0	62500.0	134874.0	372586.0	3431.0	284240.0	88922.0	46627.0
Bacteroides_faecichinchillae	2062.0	0	25798.0	26583.0	9248.0	46407.0	24417.0	21053.0	0	0	5609.0	0	0	24628.0	1952.0	2014.0	9115.0	19453.0	16473.0	24368.0	13506.0	18621.0	7594.0	0	15569.0	6500.0
Bacteroides_intestinalis	0	0	5732.0	8948.0	0	2162.0	1215.0	0	907.0	2654.0	0	0	0	29879.0	5269.0	17010.0	6246.0	6409.0	0	7683.0	7220.0	57934.0	56886.0	38337.0	1914.0	6063.0
Bacteroides_thetaiotaomicron	0	0	38580.0	62267.0	5236.0	23613.0	4033.0	3318.0	0	0	0	0	0	0	7253.0	6013.0	4631.0	0	0	16953.0	34338.0	4998.0	150008.0	0	0	0
Bacteroides_uniformis	88072.0	380043.0	274466.0	140359.0	38261.0	74848.0	46650.0	18998.0	70680.0	385836.0	67434.0	498210.0	194927.0	112625.0	154189.0	214362.0	16917.0	82144.0	181097.0	69012.0	515285.0	225085.0	11476.0	156552.0	67724.0	413680.0
Bacteroides_vulgatus	159317.0	189383.0	68991.0	6952.0	52755.0	416018.0	108923.0	117640.0	236951.0	32352.0	174174.0	2754.0	84534.0	258642.0	0	147561.0	5166.0	41531.0	908432.0	6245.0	70334.0	203649.0	12502.0	356590.0	1126519.0	1636284.0
Bacteroides_xylanisolvens	0	0	2244.0	3198.0	5061.0	4598.0	3621.0	0	0	0	0	0	0	1443.0	5436.0	1364.0	2556.0	8547.0	0	11883.0	3663.0	18568.0	7794.0	5994.0	17515.0	6741.0
Muribaculaceae_bacterium_DSM_103720	35621.0	529909.0	78759.0	57263.0	646.0	592727.0	260827.0	420237.0	545208.0	1311887.0	3277759.0	2998481.0	391935.0	800714.0	927777.0	804896.0	1241187.0	1483908.0	803982.0	1486149.0	1391777.0	2279729.0	0	1454508.0	851240.0	44543.0
Muribaculum_intestinale	906963.0	201683.0	215049.0	237915.0	160029.0	231350.0	111305.0	121342.0	144184.0	455110.0	1036270.0	548361.0	460552.0	66766.0	75130.0	74377.0	161167.0	30994.0	83873.0	130315.0	64419.0	99242.0	0	129590.0	256454.0	40362.0
Butyricimonas_virosa	0	0	6558.0	5435.0	12688.0	10970.0	18574.0	8553.0	53.0	0	2614.0	3619.0	0	4487.0	3201.0	0	0	3946.0	0	2918.0	0	34451.0	0	11849.0	1250.0	0
Porphyromonas_sp_31_2	15759.0	9976.0	16951.0	4800.0	45406.0	34767.0	33999.0	46939.0	14153.0	11301.0	67062.0	4831.0	15997.0	15580.0	0	9077.0	1913.0	13260.0	36469.0	2810.0	12980.0	41663.0	0	34822.0	74058.0	22653.0
Prevotella_sp_MGM1	0	0	544290.0	772781.0	0	0	0	0	0	0	0	0	0	272781.0	0	0	0	0	0	0	2359338.0	0	0	1159102.0	0	131751.0
Alistipes_timonensis	0	0	13491.0	13098.0	17910.0	12899.0	2718.0	6430.0	0	0	0	0	0	53.0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides_distasonis	9101.0	11064.0	10853.0	3098.0	22147.0	26507.0	29853.0	53509.0	8391.0	4053.0	43147.0	3070.0	7926.0	12849.0	268.0	6250.0	954.0	6794.0	28239.0	2807.0	7987.0	24114.0	0	21499.0	48623.0	11221.0
Parabacteroides_goldsteinii	6357.0	0	10835.0	27236.0	7970.0	9669.0	9207.0	21302.0	3218.0	0	17327.0	0	0	6795.0	449.0	10975.0	0	5788.0	11076.0	12927.0	0	17535.0	849.0	4648.0	9760.0	2784.0
Mucispirillum_schaedleri	2579.0	5123.0	481.0	0	2844.0	0	0	39909.0	49637.0	6274.0	7241.0	381.0	0	35701.0	2079.0	550.0	1054.0	1112.0	38991.0	0	4304.0	4410.0	83281.0	3454.0	4656.0	9750.0
Staphylococcus_lentus	0	0	0	0	0	0	0	0	0	0	363.0	3797.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus_nepalensis	0	0	314.0	758.0	758.0	3216.0	0	0	0	0	2750.0	17376.0	1974.0	0	0	0	0	0	0	0	0	5357.0	0	0	0	2127.0
Enterococcus_faecalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2301.0	0	0	0	0	0	0	0	0	0	0
Enterococcus_gallinarum	0	0	0	0	0	0	0	0	0	0	0	0	5498.0	0	0	85.0	0	0	0	0	0	2274.0	0	0	0	0
Enterococcus_ratti	0	0	0	0	0	0	0	0	0	0	0	0	0	68071.0	0	0	0	0	0	0	0	0	0	0	0	6753.0
Lactobacillus_murinus	49780.0	39912.0	216585.0	141209.0	93214.0	273331.0	30867.0	122307.0	333222.0	85508.0	82998.0	97767.0	1069015.0	39956.0	11657.0	6212.0	59402.0	24615.0	20005.0	18344.0	41025.0	266763.0	44420.0	37673.0	51636.0	13247.0
Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0	0	0	68354.0	0	51457.0	450653.0	67182.0	350700.0	385781.0	216543.0	699338.0	193631.0	24698.0	33038.0	23967.0	63907.0	808.0
Clostridium_sp_ASF356	0	5833.0	0	0	1509.0	0	0	768.0	0	1325.0	0	0	0	0	794.0	5978.0	151.0	0	0	0	734.0	0	12572.0	3183.0	0	0
Clostridium_sp_ASF502	7733.0	58970.0	2632.0	1905.0	392.0	1607.0	0	1521.0	47245.0	55818.0	10216.0	12095.0	17306.0	8719.0	18021.0	59909.0	8061.0	14486.0	5823.0	1081.0	4020.0	9194.0	48352.0	8797.0	10953.0	8765.0
Eubacterium_plexicaudatum	0	0	0	0	0	0	0	448.0	634149.0	0	0	0	0	553.0	4635.0	12770.0	58354.0	3832.0	0	378217.0	0	599928.0	435.0	0	0	0
Eubacterium_sp_14_2	1534.0	876.0	357.0	1289.0	0	405.0	0	0	0	402.0	0	0	358.0	0	1303.0	0	321.0	0	0	0	0	0	5511.0	0	0	1189.0
Acetatifactor_muris	5234.0	13309.0	779.0	0	87.0	0	0	358.0	5297.0	1263.0	2330.0	0	184.0	37133.0	1000.0	0	46363.0	0	0	0	1168.0	17078.0	4189.0	921.0	0	0
