# Pathway	IN-B15-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B16-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B17-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B18-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B19-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B22-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B23-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B24-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B25-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B27-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B28-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B29-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B7-d94.sam.bam.filtered.sorted_merged_Abundance	N-B1-d94.sam.bam.filtered.sorted_merged_Abundance	N-B10-d94.sam.bam.filtered.sorted_merged_Abundance	N-B11-d94.sam.bam.filtered.sorted_merged_Abundance	N-B12-d94.sam.bam.filtered.sorted_merged_Abundance	N-B13-d94.sam.bam.filtered.sorted_merged_Abundance	N-B14-d94.sam.bam.filtered.sorted_merged_Abundance	N-B2-d94.sam.bam.filtered.sorted_merged_Abundance	N-B21-d94.sam.bam.filtered.sorted_merged_Abundance	N-B4-d94.sam.bam.filtered.sorted_merged_Abundance	N-B5-d94.sam.bam.filtered.sorted_merged_Abundance	N-B6-d94.sam.bam.filtered.sorted_merged_Abundance	N-B8-d94.sam.bam.filtered.sorted_merged_Abundance	N-B9-d94.sam.bam.filtered.sorted_merged_Abundance
UNMAPPED	709290	784213	761083	750921	755360	798797	837257	786169	807771	804343	791335	809400	764377	827292	772310	819117	797107	774762	787944	821354	865004	835720	854930	835544	779393	834741
UNINTEGRATED	274474	202116	223822	234950	230868	187488	151587	200776	180308	184020	196333	178768	221314	161152	213280	168909	190323	212568	200612	168339	126334	154944	135961	154103	208456	155455
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	377.606	0	0	0	0	0	0	0	0	944.319	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_senegalensis	0	0	7101.59	0	3950.74	0	0	0	0	0	0	0	1896.54	3775.79	0	4637.49	0	0	0	6975.18	5019.25	7254.41	0	0	0	0
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_colihominis	4111.79	0	0	10192.2	9562.7	0	0	7598.84	3402.89	0	2988.37	0	10404	8955.35	0	0	0	0	12267.8	0	0	0	0	0	7143.2	0
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	21987.3	5761.68	14096.5	89794.3	26211.3	21251.8	16136.7	13830.7	18984	41118.8	32410.1	29381.6	37957.7	18515.2	0	15718.9	8828.37	32495.6	49644.5	0	0	19129.7	34756.8	18775.8	34343	27694.6
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	5924.21	18396	12098.4	6535.4	13696.7	7181.54	5695.01	0	14015.8	5789.01	14715	16546.3	11288.6	0	0	0	0	5155.68	0	0	0	0	14912.5	9725.84	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	11575.3	2704.24	6747.7	5721.95	0	0	4961.92	7318.86	3613.99	9874.12	4805.87	0	0	0	0	0	7360.95	6825.96	5778.45	15725.6	11965.4	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	213025	61349.8	96709.3	10482.7	123648	271728	80159	136733	105160	45158.4	175627	162914	85487.7	41981.3	154729	312786	84055.4	170366	52417.8	97579.3	122805	62384.2	137831	175667	171587	111191
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	260907	207581	81722.1	6678.22	47044	32395.8	13495.5	161396	24870.8	14091.4	61605.6	0	59860.9	65577.7	32842.6	30348.6	81321.9	28635.8	48418.7	121339	102055	30184	26321.3	41780.3	73506.9	83175
